run_id,target_id,source_name,dataset_name,collection_status,thematic_axis,analytical_role,requested_window,period_start,period_end,coverage_years,target_years,coverage_status,requires_priority_followup,priority_reason
operational-collect-savannah-system-20260409-013209,13-nws-rvf-cae-text,forecast.weather.gov,NWS River Forecast Text Product CAE RVF,collected,other_context,supporting_context,,,,,20,missing,,
operational-collect-clarkshill-20260401-225924,08-clark-hill-dam-inflows-and-forecasts,weather.gov,Clark Hill Dam Inflows and Forecasts,blocked_for_now,other_context,supporting_context,,,,,20,missing,,
operational-collect-clarkshill-20260401-225924,14-savannah-and-salkehatchie-surface-water-data,des.sc.gov,Savannah and Salkehatchie Surface Water Data,blocked_for_now,other_context,supporting_context,,,,,20,missing,,
operational-collect-clarkshill-20260401-225924,nws-rvf-cae-text,forecast.weather.gov,NWS River Forecast Text Product CAE RVF,partial,other_context,supporting_context,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,10-wqp-hartwell-dam-forebay,waterqualitydata.us,WQP Hartwell Dam Forebay station and results,partial,other_context,supporting_context,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,11-wqp-russell-dam-forebay,waterqualitydata.us,WQP Russell Dam Forebay station and results,partial,other_context,supporting_context,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,12-wqp-thurmond-dam-forebay,waterqualitydata.us,WQP Clarks Hill Lake Dam Forebay station and results,partial,other_context,supporting_context,,,,,20,missing,,
operational-collect-clarkshill-20260401-225924,water-usace-thurmond-location,water.usace.army.mil,Thurmond Dam Operational Data,collected,reservoir_operations,reservoir_support,,,,,20,missing,yes,Needs multi-decade operational series rather than snapshot-only support.
operational-collect-savannah-system-20260409-013209,01-water-usace-hartwell-location,water.usace.army.mil,Hartwell Dam Operational Data,collected,reservoir_operations,reservoir_support,,,,,20,missing,yes,Needs multi-decade operational series rather than snapshot-only support.
operational-collect-savannah-system-20260409-013209,02-water-usace-russell-location,water.usace.army.mil,Richard B. Russell Dam Operational Data,collected,reservoir_operations,reservoir_support,,,,,20,missing,yes,Needs multi-decade operational series rather than snapshot-only support.
operational-collect-savannah-system-20260409-013209,03-water-usace-thurmond-location,water.usace.army.mil,J. Strom Thurmond Dam Operational Data,collected,reservoir_operations,reservoir_support,,,,,20,missing,yes,Needs multi-decade operational series rather than snapshot-only support.
operational-collect-clarkshill-20260401-225924,nid-usace-ga01701,nid.sec.usace.army.mil,USACE National Inventory of Dams Metadata - J. Strom Thurmond Dam (GA01701),collected,reservoir_structure,reservoir_support,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,04-nid-usace-ga01702-hartwell,nid.sec.usace.army.mil,NID structural metadata for Hartwell Dam,collected,reservoir_structure,reservoir_support,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,05-nid-usace-ga01705-russell,nid.sec.usace.army.mil,NID structural metadata for Richard B. Russell Dam,collected,reservoir_structure,reservoir_support,,,,,20,missing,,
operational-collect-savannah-system-20260409-013209,06-nid-usace-ga01701-thurmond,nid.sec.usace.army.mil,NID structural metadata for J. Strom Thurmond Dam,collected,reservoir_structure,reservoir_support,,,,,20,missing,,
operational-collect-clarkshill-20260401-225924,usgs-02193900-monitoring-location,waterdata.usgs.gov,"USGS 02193900 THURMOND LAKE NEAR PLUM BRANCH, SC",collected,river_gauge,river_core,,,,,20,missing,yes,Needs additional mainstem gauges with full 20-year support.
operational-collect-savannah-river-20260410-204518,03-usgs-savannah-river-augusta-flow,waterservices.usgs.gov,USGS Savannah River at Augusta flow and stage,collected,river_gauge,river_core,2006-2026,2006,2026,21,20,meets_target,,
operational-collect-savannah-river-20260410-204518,04-usgs-savannah-river-usace-dock,waterservices.usgs.gov,USGS Savannah River at USACE dock water data,collected,river_gauge,river_core,2006-2026,2007,2026,20,20,meets_target,,
operational-collect-savannah-system-20260409-013209,07-usgs-02187010-hartwell,waterdata.usgs.gov,USGS Hartwell reservoir monitoring location,collected,river_gauge,river_core,,,,,20,missing,yes,Needs additional mainstem gauges with full 20-year support.
operational-collect-savannah-system-20260409-013209,08-usgs-02188100-russell,waterdata.usgs.gov,USGS Russell reservoir monitoring location,collected,river_gauge,river_core,,,,,20,missing,yes,Needs additional mainstem gauges with full 20-year support.
operational-collect-savannah-system-20260409-013209,09-usgs-02193900-thurmond,waterdata.usgs.gov,USGS Thurmond reservoir monitoring location,collected,river_gauge,river_core,,,,,20,missing,yes,Needs additional mainstem gauges with full 20-year support.
operational-collect-clarkshill-20260401-225924,01-savannah-river-augusta-intake-data,waterqualitydata.us,Savannah River Augusta Intake Data,collected,river_water_quality,river_core,,,,,20,missing,yes,Needs longer-horizon mainstem chemistry and pollutant context.
operational-collect-savannah-river-20260410-204518,01-wqp-savannah-river-calhoun-falls,waterqualitydata.us,"WQP Savannah River near Calhoun Falls, SC",collected,river_water_quality,river_core,2006-2026,1956,1974,11,20,below_target,yes,Needs longer-horizon mainstem chemistry and pollutant context.
operational-collect-savannah-river-20260410-204518,02-wqp-savannah-river-us1-augusta,waterqualitydata.us,"WQP Savannah River at US 1, Augusta, GA",collected,river_water_quality,river_core,2006-2026,1997,1998,2,20,below_target,yes,Needs longer-horizon mainstem chemistry and pollutant context.
operational-collect-savannah-river-20260410-204518,05-wqp-savannah-river-augusta-intake,waterqualitydata.us,WQP Savannah River Augusta intake,collected,river_water_quality,river_core,2006-2026,1970,1970,1,20,below_target,yes,Needs longer-horizon mainstem chemistry and pollutant context.
